id,date,competition,home,away,result,minute,score,what,how,jersey
385,2014-03-26,PRM,FC Barcelona,Celta de Vigo,3-0,30,2-0,,Right foot,10
386,2014-03-29,PRM,Espanyol,FC Barcelona,0-1,77,0-1,Penalty,Left foot,10
387,2014-04-05,PRM,FC Barcelona,Real Betis,3-1,15,1-0,Penalty,Left foot,10
388,2014-04-05,PRM,FC Barcelona,Real Betis,3-1,86,3-1,Rebound,Right foot,10
389,2014-04-20,PRM,FC Barcelona,Athletic de Bilbao,2-1,74,2-1,Free kick,Left foot,10
390,2014-04-27,PRM,Villarreal,FC Barcelona,2-3,83,2-3,,Right foot,10
391,2014-05-03,PRM,FC Barcelona,Getafe,2-2,23,1-0,,Left foot,10
392,2014-06-07,FRN,Argentina,Slovenia,2-0,75,2-0,,Left foot,10
393,2014-06-16,WCP,Argentina,Bosnia-Herzegovina,2-1,65,2-0,Solo run,Left foot,10
394,2014-06-21,WCP,Argentina,Iran,1-0,90+1,1-0,,Left foot,10
395,2014-06-25,WCP,Nigeria,Argentina,2-3,3,0-1,Rebound,Left foot,10
396,2014-06-25,WCP,Nigeria,Argentina,2-3,45+1,1-2,Free kick,Left foot,10
397,2014-08-24,PRM,FC Barcelona,Elche,3-0,42,1-0,,Left foot,10
398,2014-08-24,PRM,FC Barcelona,Elche,3-0,63,3-0,,Left foot,10
399,2014-09-21,PRM,Levante,FC Barcelona,0-5,77,0-5,,Right foot,10
400,2014-09-27,PRM,FC Barcelona,Granada,6-0,62,4-0,,Head,10
401,2014-09-27,PRM,FC Barcelona,Granada,6-0,82,6-0,,Right foot,10
402,2014-09-30,EUR,Paris Saint-Germain,FC Barcelona,3-2,11,1-1,,Left foot,10
403,2014-10-04,PRM,Rayo Vallecano,FC Barcelona,0-2,35,0-1,,Left foot,10
404,2014-10-14,FRN,Hong Kong,Argentina,0-7,66,0-5,,Left foot,10
405,2014-10-14,FRN,Hong Kong,Argentina,0-7,84,0-7,Solo run,Left foot,10
406,2014-10-18,PRM,FC Barcelona,Eibar,3-0,74,3-0,,Left foot,10
407,2014-10-21,EUR,FC Barcelona,Ajax,3-1,24,2-0,,Left foot,10
408,2014-11-05,EUR,Ajax,FC Barcelona,0-2,36,0-1,,Head,10
409,2014-11-05,EUR,Ajax,FC Barcelona,0-2,76,0-2,,Left foot,10
410,2014-11-12,FRN,Argentina,Croatia,2-1,57,2-1,Penalty,Left foot,10
411,2014-11-22,PRM,FC Barcelona,Sevilla,5-1,21,1-0,Free kick,Left foot,10
412,2014-11-22,PRM,FC Barcelona,Sevilla,5-1,72,4-1,,Right foot,10
413,2014-11-22,PRM,FC Barcelona,Sevilla,5-1,78,5-1,,Left foot,10
414,2014-11-25,EUR,APOEL FC,FC Barcelona,0-4,38,0-2,,Right foot,10
415,2014-11-25,EUR,APOEL FC,FC Barcelona,0-4,58,0-3,,Right foot,10
416,2014-11-25,EUR,APOEL FC,FC Barcelona,0-4,87,0-4,,Right foot,10
417,2014-12-07,PRM,FC Barcelona,Espanyol,5-1,45,1-1,,Left foot,10
418,2014-12-07,PRM,FC Barcelona,Espanyol,5-1,50,2-1,,Right foot,10
419,2014-12-07,PRM,FC Barcelona,Espanyol,5-1,81,5-1,,Right foot,10
420,2014-12-10,EUR,FC Barcelona,Paris Saint-Germain,3-1,19,1-1,,Right foot,10
421,2014-12-20,PRM,FC Barcelona,Córdoba,5-0,82,4-0,,Right foot,10
422,2014-12-20,PRM,FC Barcelona,Córdoba,5-0,90+1,5-0,,Right foot,10
423,2015-01-08,CUP,FC Barcelona,Elche,5-0,45,3-0,Penalty,Left foot,10
424,2015-01-11,PRM,FC Barcelona,Atlético Madrid,3-1,87,3-1,,Left foot,10
425,2015-01-18,PRM,Deportivo La Coruña,FC Barcelona,0-4,10,0-1,,Head,10
426,2015-01-18,PRM,Deportivo La Coruña,FC Barcelona,0-4,33,0-2,,Left foot,10
427,2015-01-18,PRM,Deportivo La Coruña,FC Barcelona,0-4,62,0-3,,Left foot,10
428,2015-01-21,CUP,FC Barcelona,Atlético Madrid,1-0,85,1-0,Rebound,Left foot,10
429,2015-01-24,PRM,Elche,FC Barcelona,0-6,55,0-2,Penalty,Left foot,10
430,2015-01-24,PRM,Elche,FC Barcelona,0-6,88,0-5,,Left foot,10
431,2015-02-01,PRM,FC Barcelona,Villarreal,3-2,55,3-2,,Right foot,10
432,2015-02-08,PRM,Athletic de Bilbao,FC Barcelona,2-5,15,0-1,Free kick,Left foot,10
433,2015-02-11,CUP,FC Barcelona,Villarreal,3-1,41,1-0,,Left foot,10
434,2015-02-15,PRM,FC Barcelona,Levante,5-0,38,2-0,,Right foot,10
435,2015-02-15,PRM,FC Barcelona,Levante,5-0,59,3-0,,Right foot,10
436,2015-02-15,PRM,FC Barcelona,Levante,5-0,65,4-0,Penalty,Left foot,10
437,2015-02-28,PRM,Granada,FC Barcelona,1-3,70,1-3,,Right foot,10
438,2015-03-08,PRM,FC Barcelona,Rayo Vallecano,6-1,56,3-0,Penalty,Left foot,10
439,2015-03-08,PRM,FC Barcelona,Rayo Vallecano,6-1,63,4-0,Rebound,Left foot,10
440,2015-03-08,PRM,FC Barcelona,Rayo Vallecano,6-1,68,5-0,,Left foot,10
441,2015-03-14,PRM,Eibar,FC Barcelona,0-2,31,0-1,Penalty,Left foot,10
442,2015-03-14,PRM,Eibar,FC Barcelona,0-2,55,0-2,,Head,10
443,2015-04-08,PRM,FC Barcelona,UD Almería,4-0,33,1-0,Solo run,Left foot,10
444,2015-04-11,PRM,Sevilla,FC Barcelona,2-2,14,0-1,,Left foot,10
445,2015-04-18,PRM,FC Barcelona,Valencia,2-0,90+4,2-0,Rebound,Left foot,10
446,2015-04-25,PRM,Espanyol,FC Barcelona,0-2,25,0-2,,Left foot,10
447,2015-04-28,PRM,FC Barcelona,Getafe,6-0,9,1-0,Penalty,Left foot,10
448,2015-04-28,PRM,FC Barcelona,Getafe,6-0,47,6-0,,Left foot,10
449,2015-05-02,PRM,Córdoba,FC Barcelona,0-8,46,0-3,,Head,10
450,2015-05-02,PRM,Córdoba,FC Barcelona,0-8,80,0-6,Rebound,Left foot,10
451,2015-05-06,EUR,FC Barcelona,Bayern München,3-0,77,1-0,,Left foot,10
452,2015-05-06,EUR,FC Barcelona,Bayern München,3-0,80,2-0,,Right foot,10
453,2015-05-17,PRM,Atlético Madrid,FC Barcelona,0-1,65,0-1,,Left foot,10
454,2015-05-23,PRM,FC Barcelona,Deportivo La Coruña,2-2,5,1-0,,Head,10
455,2015-05-23,PRM,FC Barcelona,Deportivo La Coruña,2-2,59,2-0,,Right foot,10
456,2015-05-30,CUP,Athletic de Bilbao,FC Barcelona,1-3,20,0-1,Solo run,Left foot,10
457,2015-05-30,CUP,Athletic de Bilbao,FC Barcelona,1-3,74,0-3,,Left foot,10
458,2015-06-13,CPA,Argentina,Paraguay,2-2,35,2-0,Penalty,Left foot,10
459,2015-08-11,IUP,FC Barcelona,Sevilla,5-4,7,1-1,Free kick,Left foot,10
460,2015-08-11,IUP,FC Barcelona,Sevilla,5-4,15,2-1,Free kick,Left foot,10
461,2015-08-17,SUP,FC Barcelona,Athletic de Bilbao,1-1,43,1-0,Field goal,Left foot,10
462,2015-09-04,FRN,Argentina,Bolivia,7-0,66,5-0,Field goal,Head,10
463,2015-09-04,FRN,Argentina,Bolivia,7-0,74,6-0,Field goal,Left foot,10
464,2015-09-08,FRN,Argentina,Mexico,2-2,88,2-2,Field goal,Left foot,10
465,2015-09-12,PRM,Atlético Madrid,FC Barcelona,1-2,77,1-2,Field goal,Left foot,10
466,2015-09-20,PRM,FC Barcelona,Levante,4-1,61,3-0,Penalty,Left foot,10
467,2015-09-20,PRM,FC Barcelona,Levante,4-1,90,4-1,Solo run,Left foot,10
468,2015-11-24,EUR,FC Barcelona,AS Roma,6-1,18,2-0,Field goal,Left foot,10
469,2015-11-24,EUR,FC Barcelona,AS Roma,6-1,59,5-0,Rebound,Left foot,10
470,2015-11-28,PRM,FC Barcelona,Real Sociedad,4-0,90+1,4-0,Field goal,Left foot,10
471,2015-12-09,EUR,Bayer Leverkusen,FC Barcelona,1-1,20,0-1,Field goal,Right foot,10
472,2015-12-12,PRM,FC Barcelona,Deportivo La Coruña,2-2,39,1-0,Free kick,Left foot,10
473,2015-12-20,WCT,CA River Plate,FC Barcelona,0-3,36,0-1,Field goal,Left foot,10
474,2015-12-30,PRM,FC Barcelona,Real Betis,4-0,33,2-0,Field goal,Right foot,10
475,2016-01-06,CUP,FC Barcelona,Espanyol,4-1,13,1-1,Field goal,Left foot,10
476,2016-01-06,CUP,FC Barcelona,Espanyol,4-1,44,2-1,Free kick,Left foot,10
477,2016-01-09,PRM,FC Barcelona,Granada,4-0,8,1-0,Field goal,Left foot,10
478,2016-01-09,PRM,FC Barcelona,Granada,4-0,14,2-0,Field goal,Left foot,10
479,2016-01-09,PRM,FC Barcelona,Granada,4-0,58,3-0,Rebound,Left foot,10
480,2016-01-17,PRM,FC Barcelona,Athletic de Bilbao,6-0,7,1-0,Penalty,Left foot,10
481,2016-01-23,PRM,Málaga,FC Barcelona,1-2,51,1-2,Field goal,Left foot,10
482,2016-01-30,PRM,FC Barcelona,Atlético Madrid,2-1,30,1-1,Field goal,Left foot,10
483,2016-02-03,CUP,FC Barcelona,Valencia,7-0,29,3-0,Field goal,Left foot,10
484,2016-02-03,CUP,FC Barcelona,Valencia,7-0,58,4-0,Field goal,Left foot,10
485,2016-02-03,CUP,FC Barcelona,Valencia,7-0,74,5-0,Field goal,Left foot,10
486,2016-02-14,PRM,FC Barcelona,Celta de Vigo,6-1,28,1-0,Free kick,Left foot,10
487,2016-02-17,PRM,Sporting Gijón,FC Barcelona,1-3,25,0-1,Field goal,Left foot,10
488,2016-02-17,PRM,Sporting Gijón,FC Barcelona,1-3,31,1-2,Field goal,Left foot,10
489,2016-02-23,EUR,Arsenal,FC Barcelona,0-2,71,0-1,Field goal,Left foot,10
490,2016-02-23,EUR,Arsenal,FC Barcelona,0-2,83,0-2,Penalty,Left foot,10
491,2016-02-28,PRM,FC Barcelona,Sevilla,2-1,31,1-1,Free kick,Left foot,10
492,2016-03-03,PRM,Rayo Vallecano,FC Barcelona,1-5,23,0-2,Field goal,Left foot,10
493,2016-03-03,PRM,Rayo Vallecano,FC Barcelona,1-5,54,0-3,Rebound,Left foot,10
494,2016-03-03,PRM,Rayo Vallecano,FC Barcelona,1-5,72,1-4,Field goal,Left foot,10
495,2016-03-06,PRM,Eibar,FC Barcelona,0-4,41,0-2,Field goal,Left foot,10
496,2016-03-06,PRM,Eibar,FC Barcelona,0-4,76,0-3,Penalty,Left foot,10
497,2016-03-12,PRM,FC Barcelona,Getafe,6-0,40,4-0,Field goal,Left foot,10
498,2016-03-16,EUR,FC Barcelona,Arsenal,3-1,88,3-1,Field goal,Left foot,10
499,2016-03-29,WCQ,Argentina,Bolivia,2-0,30,2-0,Penalty,Left foot,10
500,2016-04-17,PRM,FC Barcelona,Valencia,1-2,63,1-2,Field goal,Right foot,10
501,2016-04-20,PRM,Deportivo La Coruña,FC Barcelona,0-8,73,0-6,Field goal,Left foot,10
502,2016-04-23,PRM,FC Barcelona,Sporting Gijón,6-0,12,1-0,Rebound,Head,10
503,2016-05-08,PRM,FC Barcelona,Espanyol,5-0,8,1-0,Free kick,Left foot,10
504,2016-06-10,CPA,Argentina,Panama,5-0,68,2-0,Field goal,Left foot,10
505,2016-06-10,CPA,Argentina,Panama,5-0,78,3-0,Free kick,Left foot,10
506,2016-06-10,CPA,Argentina,Panama,5-0,87,4-0,Field goal,Left foot,10
507,2016-06-18,CPA,Argentina,Venezuela,4-1,60,3-0,Field goal,Left foot,10
508,2016-06-21,CPA,United States,Argentina,0-4,32,0-2,Free kick,Left foot,10
509,2016-08-17,SUP,FC Barcelona,Sevilla,3-0,55,3-0,Field goal,Head,10
510,2016-08-20,PRM,FC Barcelona,Real Betis,6-2,37,2-1,Field goal,Left foot,10
511,2016-08-20,PRM,FC Barcelona,Real Betis,6-2,57,5-1,Field goal,Left foot,10
512,2016-09-01,WCQ,Argentina,Uruguay,1-0,43,1-0,Field goal,Left foot,10
513,2016-09-13,EUR,FC Barcelona,Celtic,7-0,3,1-0,Field goal,Left foot,10
514,2016-09-13,EUR,FC Barcelona,Celtic,7-0,27,2-0,Field goal,Left foot,10
515,2016-09-13,EUR,FC Barcelona,Celtic,7-0,60,5-0,Field goal,Left foot,10
516,2016-09-17,PRM,Leganés,FC Barcelona,1-5,15,0-1,Field goal,Left foot,10
517,2016-09-17,PRM,Leganés,FC Barcelona,1-5,55,0-4,Penalty,Left foot,10
518,2016-10-15,PRM,FC Barcelona,Deportivo La Coruña,4-0,58,4-0,Field goal,Left foot,10
519,2016-10-19,EUR,FC Barcelona,Manchester City,4-0,17,1-0,Field goal,Left foot,10
520,2016-10-19,EUR,FC Barcelona,Manchester City,4-0,61,2-0,Field goal,Left foot,10
521,2016-10-19,EUR,FC Barcelona,Manchester City,4-0,69,3-0,Field goal,Left foot,10
522,2016-10-22,PRM,Valencia,FC Barcelona,2-3,22,0-1,Field goal,Left foot,10
523,2016-10-22,PRM,Valencia,FC Barcelona,2-3,90+4,2-3,Penalty,Left foot,10
524,2016-11-01,EUR,Manchester City,FC Barcelona,3-1,21,0-1,Field goal,Left foot,10
525,2016-11-06,PRM,Sevilla,FC Barcelona,1-2,43,1-1,Field goal,Left foot,10
526,2016-11-15,WCQ,Argentina,Colombia,3-0,10,1-0,Free kick,Left foot,10
527,2016-11-23,EUR,Celtic,FC Barcelona,0-2,24,0-1,Field goal,Left foot,10
528,2016-11-23,EUR,Celtic,FC Barcelona,0-2,55,0-2,Penalty,Left foot,10
529,2016-11-27,PRM,Real Sociedad,FC Barcelona,1-1,59,1-1,Field goal,Left foot,10
530,2016-12-06,EUR,FC Barcelona,Borussia Mönchengladbach,4-0,16,1-0,Field goal,Left foot,10
531,2016-12-10,PRM,Osasuna,FC Barcelona,0-3,72,0-2,Field goal,Left foot,10
532,2016-12-10,PRM,Osasuna,FC Barcelona,0-3,90+2,0-3,Solo run,Left foot,10
533,2016-12-18,PRM,FC Barcelona,Espanyol,4-1,90,4-1,Field goal,Left foot,10
534,2017-01-05,CUP,Athletic de Bilbao,FC Barcelona,2-1,52,2-1,Free kick,Left foot,10
535,2017-01-08,PRM,Villarreal,FC Barcelona,1-1,90,1-1,Free kick,Left foot,10
536,2017-01-11,CUP,FC Barcelona,Athletic de Bilbao,3-1,78,3-1,Free kick,Left foot,10
537,2017-01-14,PRM,FC Barcelona,Las Palmas,5-0,52,2-0,Rebound,Right foot,10
538,2017-01-22,PRM,Eibar,FC Barcelona,0-4,50,0-2,Field goal,Left foot,10
539,2017-01-26,CUP,FC Barcelona,Real Sociedad,5-2,55,2-0,Penalty,Left foot,10
540,2017-02-01,CUP,Atlético Madrid,FC Barcelona,1-2,33,0-2,Field goal,Left foot,10
541,2017-02-04,PRM,FC Barcelona,Athletic de Bilbao,3-0,40,2-0,Free kick,Left foot,10
542,2017-02-11,PRM,Alavés,FC Barcelona,0-6,59,0-3,Field goal,Left foot,10
543,2017-02-19,PRM,FC Barcelona,Leganés,2-1,4,1-0,Field goal,Right foot,10
544,2017-02-19,PRM,FC Barcelona,Leganés,2-1,89,2-1,Penalty,Left foot,10
545,2017-02-26,PRM,Atlético Madrid,FC Barcelona,1-2,87,1-2,Rebound,Left foot,10
546,2017-03-01,PRM,FC Barcelona,Sporting Gijón,6-1,9,1-0,Field goal,Head,10
547,2017-03-04,PRM,FC Barcelona,Celta de Vigo,5-0,24,1-0,Solo run,Left foot,10
548,2017-03-04,PRM,FC Barcelona,Celta de Vigo,5-0,64,5-0,Solo run,Left foot,10
549,2017-03-08,EUR,FC Barcelona,Paris Saint-Germain,6-1,50,3-0,Penalty,Left foot,10
550,2017-03-19,PRM,FC Barcelona,Valencia,4-2,45,2-1,Penalty,Left foot,10
551,2017-03-19,PRM,FC Barcelona,Valencia,4-2,53,3-2,Field goal,Right foot,10
552,2017-03-23,WCQ,Argentina,Chile,1-0,16,1-0,Penalty,Left foot,10
553,2017-04-05,PRM,FC Barcelona,Sevilla,3-0,28,2-0,Field goal,Right foot,10
554,2017-04-05,PRM,FC Barcelona,Sevilla,3-0,33,3-0,Field goal,Left foot,10
555,2017-04-15,PRM,FC Barcelona,Real Sociedad,3-2,17,1-0,Field goal,Left foot,10
556,2017-04-15,PRM,FC Barcelona,Real Sociedad,3-2,37,2-0,Rebound,Left foot,10
557,2017-04-23,PRM,Real Madrid,FC Barcelona,2-3,33,1-1,Field goal,Left foot,10
558,2017-04-23,PRM,Real Madrid,FC Barcelona,2-3,90+2,2-3,Field goal,Left foot,10
559,2017-04-26,PRM,FC Barcelona,Osasuna,7-1,12,1-0,Field goal,Left foot,10
560,2017-04-26,PRM,FC Barcelona,Osasuna,7-1,61,4-1,Field goal,Left foot,10
561,2017-05-06,PRM,FC Barcelona,Villarreal,4-1,45,2-1,Field goal,Left foot,10
562,2017-05-06,PRM,FC Barcelona,Villarreal,4-1,82,4-1,Penalty,Left foot,10
563,2017-05-21,PRM,FC Barcelona,Eibar,4-2,76,3-2,Penalty,Left foot,10
564,2017-05-21,PRM,FC Barcelona,Eibar,4-2,90+2,4-2,Solo run,Right foot,10
565,2017-05-27,CUP,FC Barcelona,Alavés,3-1,30,1-0,Field goal,Left foot,10
566,2017-08-13,SUP,FC Barcelona,Real Madrid,1-3,76,1-1,Penalty,Left foot,10
567,2017-08-26,PRM,Alavés,FC Barcelona,0-2,55,0-1,Field goal,Left foot,10
568,2017-08-26,PRM,Alavés,FC Barcelona,0-2,66,0-2,Field goal,Left foot,10
